STATION,STATION_NAME,DATE,MDPR,DAPR,PRCP,SNWD,SNOW,TMAX,TMIN,TOBS,WT06,WT05,WT04,WT03
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690103,-9999,-9999,1.01,0.0,0.0,49,32,37,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690104,-9999,-9999,0.27,0.0,0.0,55,37,50,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690105,-9999,-9999,0.27,0.0,0.0,50,43,43,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690106,-9999,-9999,-9999,0.0,0.0,43,38,38,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690107,0.53,2,-9999,0.0,0.0,39,33,34,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690108,-9999,-9999,0.04,0.0,0.0,38,30,34,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690109,-9999,-9999,0.16,0.0,0.0,39,34,38,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690110,-9999,-9999,0.14,0.0,0.0,41,36,38,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690111,-9999,-9999,0.05,0.0,0.0,38,33,35,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690112,-9999,-9999,0.02,0.0,0.0,39,30,34,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690113,-9999,-9999,0.02,0.0,0.0,42,33,38,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690114,-9999,-9999,0.29,0.0,0.0,40,32,35,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690115,-9999,-9999,0.19,0.0,0.0,38,32,32,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690116,-9999,-9999,0.15,0.0,0.0,37,32,35,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690117,-9999,-9999,0.05,1.0,1.0,36,29,31,-9999,1,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690118,-9999,-9999,0.05,1.0,0.5,31,25,27,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690119,-9999,-9999,0.05,2.0,1.5,35,26,28,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690120,-9999,-9999,0.10,2.0,2.0,28,20,25,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690121,-9999,-9999,0.15,3.0,1.5,25,20,20,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690122,-9999,-9999,0.00,3.0,0.0,28,13,17,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690123,-9999,-9999,0.00,2.0,0.0,25,4,15,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690124,-9999,-9999,0.00,2.0,0.0,27,7,13,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690125,-9999,-9999,0.00,2.0,0.0,26,13,18,-9999,-9999,-9999,-9999
GHCND:USC00455678,MOUNT VERNON 3 WNW WA US,19690126,-9999,-9999,0.15,5.0,2.5,26,16,18,-9999,-9999,-9999,-9999
