FID,LAT,LONG_,ELEV,block,dailymet_livneh2013,dailywrf_salathe2014,dailymet_livneh2013_wrfbc,dailymet_livneh2013_wrfbc_global
0,48.40625,-121.46875,1195.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.40625_-121.46875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.40625_-121.46875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.40625_-121.46875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.40625_-121.46875
1,48.40625,-121.53125,647.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.40625_-121.53125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.40625_-121.53125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.40625_-121.53125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.40625_-121.53125
2,48.40625,-121.59375,406.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.40625_-121.59375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.40625_-121.59375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.40625_-121.59375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.40625_-121.59375
3,48.34375,-121.09375,1676.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.09375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.34375_-121.09375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.09375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.09375
4,48.34375,-121.15625,1343.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.15625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.34375_-121.15625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.15625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.15625
5,48.34375,-121.21875,1567.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.21875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.34375_-121.21875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.21875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.21875
6,48.34375,-121.28125,1205.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.28125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.34375_-121.28125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.28125,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.28125
7,48.34375,-121.34375,1377.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.34375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.34375_-121.34375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.34375,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.34375
8,48.34375,-121.40625,858.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.40625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.34375_-121.40625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.40625,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.40625
9,48.34375,-121.46875,452.0,data.125.120.37.49,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/livneh2013/Daily_MET_1915_2011/raw/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.46875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/salathe2014/WWA_1950_2010/raw/data_48.34375_-121.46875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_liv/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.46875,/home/jovyan/work/notebooks/data/7c3416535ab24d4f93b0b94741bb9572/7c3416535ab24d4f93b0b94741bb9572/data/contents/biascorrWRF_global/Meteorology_Livneh_CONUSExt_v.1.2_2013_48.34375_-121.46875
