FID,OBJECTID,LAT,LONG_,RASTERVALU,Northing,Easting
0,0,48.40625,-121.46875,1195,5363388.028,351987.5884
1,1,48.40625,-121.53125,647,5363388.028,648012.4116
2,2,48.40625,-121.59375,406,5361938.126,574007.5282
3,3,48.34375,-121.09375,1676,5354991.179,425901.8294
4,4,48.34375,-121.15625,1343,5356441.45,648193.7424
5,5,48.34375,-121.21875,1567,5356441.45,351806.2576
6,6,48.34375,-121.28125,1205,5356441.45,648193.7424
7,7,48.34375,-121.34375,1377,5354507.836,500000
8,8,48.34375,-121.40625,858,5358859.386,277715.8836
9,9,48.34375,-121.46875,452,5354991.179,425901.8294
10,10,48.34375,-121.53125,164,5354991.179,425901.8294
11,11,48.28125,-121.03125,1768,5348044.304,574188.7242
12,12,48.28125,-121.09375,1404,5351913.484,277444.0391
13,13,48.28125,-121.15625,1346,5348044.304,425811.2758
14,14,48.28125,-121.21875,1087,5349494.94,351625.1045
15,15,48.28125,-121.28125,1024,5348044.304,574188.7242
16,16,48.28125,-121.34375,856,5348044.304,574188.7242
17,17,48.28125,-121.40625,557,5349494.94,648374.8955
18,18,48.28125,-121.46875,996,5351913.484,277444.0391
19,19,48.28125,-121.53125,343,5349494.94,351625.1045
20,20,48.28125,-121.59375,339,5347560.841,500000
21,21,48.21875,-120.96875,1705,5342548.496,351444.1292
22,22,48.21875,-121.03125,1509,5340613.922,500000
23,23,48.21875,-121.09375,1405,5342548.496,351444.1292
24,24,48.21875,-121.15625,1147,5342548.496,351444.1292
25,25,48.21875,-121.21875,1350,5344967.638,277172.461
26,26,48.21875,-121.28125,1171,5342548.496,351444.1292
27,27,48.21875,-121.34375,1242,5344967.638,277172.461
28,28,48.21875,-121.40625,1112,5341097.504,425720.8112
29,29,48.21875,-121.46875,926,5341097.504,425720.8112
30,30,48.21875,-121.53125,613,5342548.496,351444.1292
31,31,48.21875,-121.59375,609,5340613.922,500000
32,32,48.15625,-120.96875,1732,5334150.777,574369.5643
33,33,48.15625,-121.03125,1273,5335602.118,351263.332
34,34,48.15625,-121.09375,1736,5334150.777,425630.4357
35,35,48.15625,-121.15625,1628,5334150.777,425630.4357
36,36,48.15625,-121.21875,1347,5333667.079,500000
37,37,48.15625,-121.28125,1148,5334150.777,425630.4357
38,38,48.15625,-121.34375,1094,5334150.777,425630.4357
39,39,48.15625,-121.40625,818,5334150.777,425630.4357
40,40,48.15625,-121.46875,707,5335602.118,648736.668
41,41,48.15625,-121.53125,1014,5338021.847,276901.1496
42,42,48.15625,-121.59375,912,5338021.847,276901.1496
43,43,48.15625,-121.65625,1056,5338021.847,276901.1496
44,44,48.09375,-121.03125,1719,5326720.312,500000
45,45,48.09375,-121.09375,2216,5327204.124,425540.1493
46,46,48.09375,-121.15625,1700,5327204.124,425540.1493
47,47,48.09375,-121.21875,1594,5327204.124,574459.8507
48,48,48.09375,-121.28125,1274,5327204.124,425540.1493
49,49,48.09375,-121.34375,1120,5327204.124,574459.8507
50,50,48.09375,-121.40625,723,5326720.312,500000
51,51,48.09375,-121.46875,1176,5331076.111,276630.1052
52,52,48.03125,-121.15625,1585,5321709.564,350902.2724
53,53,48.03125,-121.21875,1382,5320257.544,425449.9523
54,54,48.03125,-121.28125,1035,5319773.62,500000
55,55,48.03125,-121.34375,1373,5321709.564,649097.7276
56,56,48.03125,-121.40625,1188,5324130.43,276359.3282
